O1;ASM;;;
740;442;;;
2558;1938;;;
294;316;;;
1250;1131;;;
477;572;;;
1101;875;;;
642;1050;;;
293;304;;;
754;1062;;;
300;280;;;
663;852;;;
1133;781;;;
440;515;;;
399;655;;;
1560;1074;;;
1125;1322;;;
1384;1687;;;
681;675;;;
1585;2345;;;
766;734;;;
547;590;;;
493;580;;;
478;432;;;
553;471;;;
422;355;;;
2200;1190;;;
1175;509;;;
1395;1575;;;
864;1123;;;
475;868;;;
707;442;;;
553;538;;;
860;1093;;;
776;803;;;
740;847;;;
570;692;;;
971;1265;;;
1171;1143;;;
845;1027;;;
379;425;;;
499;450;;;
1780;1631;;;
878;659;;;
1950;1701;;;
1249;910;;;
468;525;;;
1725;839;;;
808;612;;;
1504;1354;;;
1520;774;;;
798;573;;;
1439;1188;;;
1435;604;;;
625;624;;;
909;687;;;
1708;1508;;;
1038;1129;;;
3162;2090;;;
535;413;;;
1157;1000;;;
868;627;;;
1271;1437;;;
1954;1452;;;
1750;1808;;;
1137;1007;;;
736;651;;;
494;422;;;
278;345;;;
1204;774;;;
1575;910;;;
1189;1216;;;
792;588;;;
2082;894;;;
1650;1322;;;
1839;1977;;;
687;414;;;
2140;1615;;;
2844;560;;;
1717;815;;;
2641;1005;;;
1626;932;;;
1117;493;;;
1388;1335;;;
1763;971;;;
1254;622;;;
2019;1009;;;
1766;875;;;
1031;574;;;
579;529;;;
1618;1149;;;
683;477;;;
851;590;;;
1626;1014;;;
918;908;;;
951;660;;;
1861;1018;;;
2381;1583;;;
1397;983;;;
2833;1004;;;
4086;1340;;;
1317;855;;;
1749;578;;;
942;1125;;;
914;495;;;
2905;1145;;;
1785;975;;;
1097;1125;;;
1050;990;;;
1441;705;;;
1911;528;;;
2023;1307;;;
1638;1439;;;
750;814;;;
1824;1170;;;
282;333;;;
592;697;;;
1036;414;;;
1009;1103;;;
1109;780;;;
578;648;;;
973;525;;;
2116;748;;;
802;795;;;
1089;624;;;
1277;841;;;
1451;959;;;
2998;1512;;;
3185;1958;;;
993;1482;;;
987;644;;;
924;640;;;
941;715;;;
675;677;;;
1174;563;;;
1076;817;;;
1246;458;;;
1010;518;;;
387;314;;;
1463;1292;;;
1237;1145;;;
539;292;;;
709;578;;;
651;667;;;
1336;944;;;
1080;631;;;
1459;1350;;;
1790;1405;;;
867;496;;;
780;675;;;
2661;1457;;;
1301;955;;;
946;407;;;
791;436;;;
2256;1607;;;
797;699;;;
1048;555;;;
1062;529;;;
1512;1103;;;
496;272;;;
1697;1660;;;
1257;979;;;
1184;892;;;
322;359;;;
651;515;;;
1111;762;;;
399;367;;;
1417;856;;;
1421;775;;;
697;389;;;
416;350;;;
2293;1028;;;
1545;1072;;;
951;781;;;
830;555;;;
987;623;;;
1676;732;;;
987;872;;;
2439;940;;;
898;616;;;
708;750;;;
1094;715;;;
1330;748;;;
1449;1013;;;
762;865;;;
1014;754;;;
1083;517;;;
1776;1133;;;
1881;1325;;;
922;603;;;
1688;806;;;
2804;1165;;;
1936;845;;;
924;768;;;
798;600;;;
1938;1563;;;
2617;1626;;;
2106;1170;;;
1318;1003;;;
1218;777;;;
758;450;;;
1296;617;;;
1040;860;;;
1459;837;;;
768;505;;;
592;316;;;
1125;643;;;
1895;652;;;
1243;955;;;
1409;576;;;
1745;673;;;
1224;510;;;
2357;1395;;;
418;385;;;
2184;1169;;;
1591;1175;;;
1776;1133;;;
1905;975;;;
916;507;;;
1664;845;;;
1027;412;;;
1550;1172;;;
1091;360;;;
1042;831;;;
1034;527;;;
776;300;;;
2207;2002;;;
1291;888;;;
979;464;;;
708;576;;;
513;289;;;
2070;446;;;
2338;942;;;
971;328;;;
2493;1240;;;
1806;849;;;
1214;860;;;
1286;300;;;
1762;614;;;
692;377;;;
1745;813;;;
1135;675;;;
771;433;;;
1429;1211;;;
2517;1226;;;
2286;1215;;;
1299;752;;;
1914;1287;;;
740;363;;;
511;547;;;
1626;1202;;;
961;713;;;
553;470;;;
1244;606;;;
927;452;;;
1263;458;;;
2516;1194;;;
580;320;;;
1297;525;;;
774;350;;;
1667;853;;;
1125;506;;;
888;310;;;
2205;616;;;
890;442;;;
4820;855;;;
964;277;;;
1061;333;;;
501;423;;;
1727;809;;;
1852;566;;;
379;294;;;
4382;631;;;
2753;692;;;
2448;825;;;
1303;302;;;
1003;636;;;
1506;332;;;
1202;359;;;
619;513;;;
2404;910;;;
3116;1291;;;
3057;1642;;;
2063;474;;;
3861;722;;;
1812;412;;;
713;501;;;
1346;565;;;
924;315;;;
876;555;;;
1542;585;;;
4004;2140;;;
1652;685;;;
4362;1483;;;
3474;497;;;
4004;1372;;;
1982;725;;;
930;412;;;
2364;853;;;
2065;556;;;
1107;611;;;
1161;740;;;
1790;847;;;
709;292;;;
1630;908;;;
2424;902;;;
1575;1097;;;
4862;983;;;
2230;880;;;
829;517;;;
1508;793;;;
1644;1082;;;
2092;1152;;;
939;963;;;
1804;787;;;
941;473;;;
1155;758;;;
3546;2177;;;
1014;786;;;
2469;1279;;;
1488;964;;;
1050;948;;;
1696;1100;;;
878;679;;;
1062;485;;;
1425;827;;;
813;442;;;
908;639;;;
1916;683;;;
926;470;;;
1600;927;;;
1202;377;;;
700;695;;;
570;594;;;
1065;997;;;
1129;785;;;
829;304;;;
3252;1879;;;
1162;685;;;
1338;766;;;
1174;746;;;
831;586;;;
2825;1473;;;
1411;393;;;
1313;343;;;
5061;1145;;;
1040;675;;;
930;477;;;
859;553;;;
1062;612;;;
521;390;;;
915;585;;;
1135;495;;;
1088;389;;;
1710;592;;;
2619;614;;;
1301;1326;;;
1155;478;;;
1691;667;;;
1176;624;;;
1456;774;;;
1601;602;;;
2984;1912;;;
1079;655;;;
1370;1090;;;
1338;774;;;
